system,system_label
mortality,Mortality outcome
health_outcomes,Health Outcomes
food_systems,Food Systems
water_systems,Water Systems
living_conditions,Living Conditions
market_functionality,Market Functionality
health_nutrition_services,Health / Nutrition Services
