Indicator_ID_legacy,MET_ID,Level,Risk concept,System,Factor,Sub-Factor,Indicator,Preference,Type,Metric,Usual data sources,MSNA module,MSNA indicator,Question KOBO Code,Remarks/Limitations,Acute needs threshold (4),Very acute needs threshold (5),Above or below,Evidence threshold,Factor threshold
IND153,MET139,Community or system level contributing factors,Coping,Living conditions,Sanitation & Hygiene,Accessibility,Access to safe latrines,2,num[0:1],% of assessed settlements reporting there is a very serious or extremely serious problem with safe latrine access AND that half/most/everyone does not have access to any kind of toilet,,,,,,0.3,0.5,Above,1,1
IND154,MET140,Community or system level contributing factors,Coping,Living conditions,Sanitation & Hygiene,Accessibility,Physical access,2,num[0:1],% of assessed settlements reporting there is a very serious or extremely serious problem with safe latrine access physical access as a main reason people are not using latrines,,,,,,0.2,0.3,Above,1,1
IND155,MET141,Community or system level contributing factors,Coping,Living conditions,Sanitation & Hygiene,Accessibility,Social access,2,num[0:1],% of assessed settlements reporting there is a very serious or extremely serious problem with safe latrine access social access as a main reason people are not using latrines,,,,,,0.2,0.3,Above,1,1
IND156,MET142,Community or system level contributing factors,Coping,Living conditions,Sanitation & Hygiene,Quality,Hygienic conditions and quality of sanitation faclities,1,num[0:1],% of HH with access to unimproved sanitation facilities,MSNA,Sanitation facility,"% of households with access to improved sanitation facilities s% of households using a sanitation facility, by type of sanitation facility used (S1)",wash_sanitation_facility,Check contextualized options for unimproved facilities,0.5,,Above,1,1
IND157,MET143,Community or system level contributing factors,Coping,Living conditions,Sanitation & Hygiene,Quality,Hygienic conditions and quality of sanitation faclities,1,num[0:1],% of HHs reporting hygiene related issues with latrines,MSNA,Sanitation facility - access,"% of households having had problems related to sanitation facility access, by type of problem",wash_sanitation_use_toilet_reason,,0.5,,Above,1,1
IND158,MET144,Community or system level contributing factors,Coping,Living conditions,Sanitation & Hygiene,Quality,Hygienic conditions and quality of sanitation faclities,1,num[0:1],% of HHs reporting protection or safety related issues with latrine,MSNA,Sanitation facility - access,"% of households having had problems related to sanitation facility access, by type of problem",wash_sanitation_use_toilet_reason,,0.5,,Above,1,1
IND159,MET145,Community or system level contributing factors,Coping,Living conditions,Sanitation & Hygiene,Quality,Technical requirements,2,num[0:1],% of latrines that meet minimum technical requirements,,,,,,0.4,0.2,Below,1,1
IND160,MET146,Community or system level contributing factors,Coping,Living conditions,Sanitation & Hygiene,Quality,Hygienic and cleaned,2,num[0:1],% of latrines that are hygienic and cleaned on a regular basis,,,,,,0.4,0.2,Below,1,1
IND161,MET147,Community or system level contributing factors,Coping,Living conditions,Sanitation & Hygiene,Quality,Protection requirements,2,num[0:1],"% of latrines meeting minimum protection requirements (locks, sex seperated, etc.)",,,,,,0.4,0.2,Below,1,1
IND162,MET148,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Availability,Health facilities per population,1,num[0+],Number of people per primary health facility catchment area,,,,,,15000,20000,Above,1,1
IND163,MET149,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Availability,Health facilities per population,1,num[0+],Number of people per secondary health facility (hospitals),,,,,,250000,,Above,1,1
IND164,MET150,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Availability,Health facilities per population,1,num[0+],"Number of inpatient beds per 10,000 people",,,,,,10,5,Below,1,1
IND165,MET151,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Availability,Functioning health facilities,2,num[0:1],% of functional primary health care (PHC) facilities,,,,,,0.5,,Below,1,1
IND166,MET152,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Availability,Functioning health facilities,2,num[0:1],% of functional secondary health care (SHC) facilities,,,,,,0.4,,Below,1,1
IND167,MET153,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Availability,Functioning health facilities,2,num[0+],# of inpatient beds capacity per 10000 people,,,,,,10,5,Below,1,1
IND168,MET154,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Availability,Essential drug stocks,1,num[0+],Average number of days essential medicines are not available out of the past 30 days,,,,,,5,10,Above,1,1
IND169,MET155,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Availability,Essential drug stocks,1,num[0:1],% of health facilities with essential medicines in stock,,,,,,0.4,,Below,1,1
IND170,MET156,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Availability,Supplies as functional constraint,2,num[0:1],% of facilities reporting lack of supplies as a main functionality constraint,,,,,,0.4,,Above,1,1
IND171,MET157,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Availability,Staffing at facilities,1,num[0+],Number of skilled birth attendants per 10000 people,,,,,,5,2,Below,1,1
IND172,MET158,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Availability,Staffing at facilities,1,num[0+],Number of health workers per 1000 people,,,,,,20,10,Below,1,1
IND173,MET159,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Availability,Staffing functional constraints,2,num[0:1],% of facilities reporting lack of staffing as a main functionality constraint,,,,,,0.4,,Above,1,1
IND174,MET160,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Accessibility,Physical access to health care,1,num[0:1],% HH reporting access to a health facility in less than one hour,MSNA,Time to health facility - Core,Average walking time to travel to nearest functioning health facility,health_facility_time,,0.4,,Below,1,1
IND175,MET161,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Accessibility,Physical access to health care,2,num[0:1],% of assessed settlements reporting there is a very serious or extremely serious problem with people accessing healthcare or treatment AND that a PHYSICAL access barriers as a main reason why some people cannot access adequate health care,,,,,,0.2,0.3,Above,1,1
IND176,MET162,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Accessibility,Financial access to health care,1,num[0:1],% of HHs with catastrophic health care spending,MSNA,Expenditure,"Household expenditures in the 30 days prior to data collection, by amount and % per type",cm_expenditure_frequent cm_expenditure_infrequent,Probably more of an infrequent expenditure situation?,0.25,,Above,1,1
IND177,MET163,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Accessibility,Financial access to health care,2,num[0:1],% of assessed settlements reporting there is a very serious or extremely serious problem with people accessing healthcare or treatment AND that a FINANCIAL access barriers as a main reason why some people cannot access adequate health care,,,,,,0.2,0.3,Above,1,1
IND178,MET164,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Accessibility,Social access to health care,1,int[0:1],Qualitative reports of exclusion of certain groups,,,,,,1,,Above,1,1
IND179,MET165,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Accessibility,Social access to health care,2,num[0:1],% of assessed settlements reporting there is a very serious or extremely serious problem with people accessing healthcare or treatment AND that a SOCIAL access barriers as a main reason why some people cannot access adequate health care,,,,,,0.2,0.3,Above,1,1
IND180,MET166,Community or system level contributing factors,Coping,Health / Nutrition services,Nutrition services,Quality,"Quality of SAM Nutrition Services- CMAM performance: (Cure rates, Defaulter rates, Death rates)",1,num[0:1],CMAM performance - cure rates-SAM %,,,,,,0.75,,Below,1,1
IND181,MET167,Community or system level contributing factors,Coping,Health / Nutrition services,Nutrition services,Quality,"Quality of SAM Nutrition Services- CMAM performance: (Cure rates, Defaulter rates, Death rates)",1,num[0:1],CMAM performance - death rates-SAM %,,,,,,0.1,,Above,1,1
IND182,MET168,Community or system level contributing factors,Coping,Health / Nutrition services,Nutrition services,Quality,"Quality of SAM Nutrition Services- CMAM performance: (Cure rates, Defaulter rates, Death rates)",1,num[0:1],CMAM performance - defaulter rates- SAM %,,,,,,0.15,,Above,1,1
IND183,MET169,Community or system level contributing factors,Coping,Health / Nutrition services,Nutrition services,Quality,"Quality of MAM Nutrition Services- CMAM performance: (Cure rates, Defaulter rates, Death rates)",2,num[0:1],CMAM performance - cure rates-MAM%,,,,,,0.75,,Below,1,1
IND184,MET170,Community or system level contributing factors,Coping,Health / Nutrition services,Nutrition services,Quality,"Quality of MAM Nutrition Services- CMAM performance: (Cure rates, Defaulter rates, Death rates)",2,num[0:1],CMAM performance - death rates-MAM %,,,,,,0.03,,Above,1,1
IND185,MET171,Community or system level contributing factors,Coping,Health / Nutrition services,Nutrition services,Quality,"Quality of MAM Nutrition Services- CMAM performance: (Cure rates, Defaulter rates, Death rates)",2,num[0:1],CMAM performance - defaulter rates- MAM %,,,,,,0.15,,Above,1,1
IND186,MET172,Community or system level contributing factors,Coping,Health / Nutrition services,Nutrition services,Quality,"Accessibility & Availability (Coverage of SC, OTP or TSFP nutrition services.)",1,num[0:1],Coverage of SC/ OTP/ SFP in IDP camps,,,,,,0.3,,Above,1,1
IND187,MET173,Community or system level contributing factors,Coping,Health / Nutrition services,Nutrition services,Quality,"Accessibility & Availability (Coverage of SC, OTP or TSFP nutrition services.)",1,num[0:1],Coverage of SC/ OTP/ SFP in urban populations,,,,,,0.3,,Above,1,1
IND188,MET174,Community or system level contributing factors,Coping,Health / Nutrition services,Nutrition services,Quality,"Accessibility & Availability (Coverage of SC, OTP or TSFP nutrition services.)",1,num[0:1],Coverage of SC/ OTP/ SFP in rural populations,,,,,,0.2,,Above,1,1
IND189,MET175,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Quality,Case fatality rates (disease specific),1,num[0:1],% Measles case fatality rates,,,,,,0.05,,Above,1,1
IND190,MET176,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Quality,Case fatality rates (disease specific),1,num[0:1],% Cholera case fatality rates,,,,,,0.01,,Above,1,1
IND191,MET177,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Quality,Case fatality rates (disease specific),1,num[0:1],% Ebola case fatality rates,,,,,,0.7,,Above,1,1
IND192,MET178,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Quality,Minimum package of services,1,num[0:1],% of health facilities providing minimum package of primary health services as defined by in country policies,,,,,,0.6,0.3,Below,1,1
IND193,MET179,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Quality,Minimum package of services,1,num[0:1],"% of health facilties providing basic reproductive health care services (e.g.safe delivery services , emergency obstretic and newborn care, etc.)",,,,,,0.5,0.2,Below,1,1
IND194,MET180,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Quality,Minimum package of services,2,num[0:1],% of health facilities providing basic outpatient services,,,,,,0.6,0.3,Below,1,1
IND195,MET181,Community or system level contributing factors,Coping,Health / Nutrition services,Health services,Quality,Minimum package of services,2,num[0:1],% of health facilities providing basic maternal and newborn health services,,,,,,0.5,0.2,Below,1,1
IND196,MET182,Community or system level contributing factors,Coping,Health / Nutrition services,Nutrition services,Access to nutrition,Access barriers accessing nutrition services in locality/catchment areas.,3,num[0:1],% people in the neighbourhood/locality currently facing any barriers in accessing nutrition services due to distance?,,,,,,0.5,0.7,Above,,
IND197,MET183,Community or system level contributing factors,Coping,Health / Nutrition services,Nutrition services,Access to nutrition,Availability barriers accessing nutrition services in locality/ catchment areas,3,num[0:1],% people in the neighbourhood/locality currently facing any barriers in due to unavailability of nutrition facilities?,,,,,,0.5,0.7,Above,,
IND198,MET184,Community or system level contributing factors,Coping,Health / Nutrition services,Nutrition services,Access to nutrition,Coverage of nutrition services for targeted population/ catchment areas,3,num[0:1],% target population in the catchment area covered by the nutrition facility?,,,,,,0.5,0.3,Below,,
IND125,MET185,Community or system level contributing factors,Coping,Market functionality,Market functionality,Accessibility,Physical barriers to access markets,1,num[0:1],% of interviewed vendors reporting that some customers have faced physical barriers to accessing marketplaces over the last X days/months,,,,,,0.25,0.5,Above,2,1
IND126,MET186,Community or system level contributing factors,Coping,Market functionality,Market functionality,Accessibility,Financial barriers to access markets,1,num[0:1],"% of households facing any financial barrier to accessing marketplaces, by barrier",,,,,,0.5,0.75,Above,2,1
IND127,MET187,Community or system level contributing factors,Coping,Market functionality,Market functionality,Accessibility,Affordability,1,num[0:1],% of interviewed vendors reporting that some customers have faced financial barriers toaccessing marketplaces over the last X days/months,,,,,,0.5,0.75,Above,2,1
IND128,MET188,Community or system level contributing factors,Coping,Market functionality,Market functionality,Accessibility,Access barriers to markets,2,num[0:1],% of assessed settlements where the MAJORITY of people cannot reach a functioning marketplace or store to buy and sell goods if they need to,,,,,,0.5,0.75,Above,2,1
IND129,MET189,Community or system level contributing factors,Coping,Market functionality,Market functionality,Accessibility,NFI prices increase,2,num[0:1],% of localities with a big increase in non-food items prices in the last 30 days,,,,,,0.25,0.5,Above,2,1
IND130,MET190,Community or system level contributing factors,Coping,Market functionality,Market functionality,Accessibility,Access barriers to markets,2,num[0:1],% of localities where residents face any physical or social barriers to accessing nearby marketplaces,,,,,,0.5,0.75,Above,2,1
IND131,MET191,Community or system level contributing factors,Coping,Market functionality,Market functionality,Accessibility,Access barriers to non-food items,2,num[0:1],% of localities where residents face any barriers to accessing and/or affording non-food items,,,,,,0.5,0.75,Above,2,1
IND132,MET192,Community or system level contributing factors,Coping,Market functionality,Market functionality,Availability,Restrictions on movement to markets,2,int[0:1],"Shocks, conflict or else restrict mouvement of people to markets",,,,,,1,,Above,1,1
IND133,MET193,Community or system level contributing factors,Coping,Market functionality,Market functionality,Availability,Level of availability of monitored items during the data collection window (by category of item),1,num[0:1],% of monitored items for which no availability is reported,,,,,,0.2,0.4,Above,1,1
IND134,MET194,Community or system level contributing factors,Coping,Market functionality,Market functionality,Availability,Level of availability of monitored items during the data collection window (by category of item),1,num[0:1],% of monitored items for which limited OR no availability is reported,,,,,,0.4,,Above,1,1
IND135,MET195,Community or system level contributing factors,Coping,Market functionality,Market functionality,Functionality,Resilience,1,num[0:1],% of monitored items or categories for which # days of remaining stock â # days needed to restock < 1,,,,,,0.5,,Above,1,1
IND136,MET196,Community or system level contributing factors,Coping,Market functionality,Market functionality,Functionality,Resilience,1,num[0:1],% of interviewed vendors reporting difficulties keeping their business operational and well-stocked over the last X days/months,,,,,,0.25,0.5,Above,1,1
IND137,MET197,Community or system level contributing factors,Coping,Market functionality,Market functionality,Functionality,Resilience,2,num[0:1],% of interviewed vendors mostly relying on a single supplier to stock their businesses (by category),,,,,,0.5,0.75,Above,1,1
IND138,MET198,Community or system level contributing factors,Coping,Market functionality,Market functionality,Functionality,Market Functionality Score,1,num[0:1],Full reported MFS by assessed market,,,,,,,,Below,1,1
